time,current mc,min energy,most consume,queue length
411501,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
411601,"(92, 104)",-7.349999086224823e-06,7.5905e-06,126
411701,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,126
411801,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,126
411901,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,126
412001,"(92, 104)",-7.349999086224823e-06,7.580999999999999e-06,126
412101,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
412201,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
412301,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
412401,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
412501,"(92, 104)",-7.349999086224823e-06,7.5505e-06,126
412601,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
412701,"(92, 104)",-7.349999086224823e-06,7.5505e-06,126
412801,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,126
412901,"(92, 104)",-7.349999086224823e-06,7.562499999999999e-06,126
413001,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,126
413101,"(92, 104)",-7.349999086224823e-06,7.580999999999999e-06,126
413201,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
413301,"(92, 104)",-7.349999086224823e-06,7.562499999999999e-06,126
413401,"(92, 104)",-7.349999086224823e-06,7.562499999999999e-06,126
413501,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,126
413601,"(92, 104)",-7.349999086224823e-06,7.5905e-06,126
413701,"(92, 104)",-7.349999086224823e-06,7.580999999999999e-06,126
413801,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
413901,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,126
414001,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,126
414101,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,126
414201,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
414301,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
414401,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
414501,"(92, 104)",-7.349999086224823e-06,7.580999999999999e-06,126
414601,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
414701,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
414801,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
414901,"(92, 104)",-7.349999086224823e-06,7.562499999999999e-06,126
415001,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
415101,"(92, 104)",-7.349999086224823e-06,7.5505e-06,126
415201,"(92, 104)",-7.349999086224823e-06,7.5564999999999996e-06,126
415301,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
415401,"(92, 104)",-7.349999086224823e-06,7.415686274509804e-07,126
415501,"(92, 104)",-7.349999086224823e-06,9.80392156862745e-07,126
415601,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
415701,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
415801,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
415901,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
416001,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
416101,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,126
416201,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
416301,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
416401,"(92, 104)",-7.349999086224823e-06,7.562499999999999e-06,126
416501,"(92, 104)",-7.349999086224823e-06,1.0113e-05,126
416601,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
416701,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
416801,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,126
416901,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
417001,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
417101,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
417201,"(92, 104)",-7.349999086224823e-06,7.5905e-06,126
417301,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
417401,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
417501,"(92, 104)",-7.349999086224823e-06,7.5505e-06,126
417601,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
417701,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,126
417801,"(92, 104)",-7.349999086224823e-06,8.823529411764705e-07,126
417901,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
418001,"(92, 104)",-7.349999086224823e-06,9.80392156862745e-07,126
418101,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
418201,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,126
418301,"(92, 104)",-7.349999086224823e-06,7.5505e-06,126
418401,"(92, 104)",-7.349999086224823e-06,7.5905e-06,126
418501,"(92, 104)",-7.349999086224823e-06,7.562499999999999e-06,126
418601,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,126
418701,"(92, 104)",-7.349999086224823e-06,7.580999999999999e-06,126
418801,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
418901,"(92, 104)",-7.349999086224823e-06,7.562499999999999e-06,126
419001,"(92, 104)",-7.349999086224823e-06,7.5905e-06,126
419101,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
419201,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
419301,"(92, 104)",-7.349999086224823e-06,1.0113e-05,126
419401,"(92, 104)",-7.349999086224823e-06,9.80392156862745e-07,126
419501,"(92, 104)",-7.349999086224823e-06,6.862745098039215e-07,126
419601,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,126
419701,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
419801,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
419901,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
420001,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
420101,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,126
420201,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
420301,"(92, 104)",-7.349999086224823e-06,7.580999999999999e-06,126
420401,"(92, 104)",-7.349999086224823e-06,7.580999999999999e-06,126
